article_id,frame_conflict_gpt_oss,frame_human_interest_gpt_oss,frame_economic_gpt_oss,frame_morality_gpt_oss,frame_responsibility_gpt_oss,frame_conflict_mistral,frame_human_interest_mistral,frame_economic_mistral,frame_morality_mistral,frame_responsibility_mistral,frame_conflict_llama,frame_human_interest_llama,frame_economic_llama,frame_morality_llama,frame_responsibility_llama,dominant_gpt_oss,dominant_mistral,dominant_llama
100033,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,responsibility,responsibility,responsibility
100104,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,none,conflict,conflict
100222,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,conflict,conflict,conflict
100404,1,0,1,1,1,1,0,1,0,1,1,0,1,0,1,conflict,conflict,conflict
100431,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,economic,economic,economic
100482,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,responsibility,responsibility,responsibility
1005591,0,1,0,0,1,1,0,0,1,1,1,1,0,0,0,human_interest,conflict,human_interest
1005597,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,morality,conflict,conflict
1005660,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,human_interest,none,human_interest
100689,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,conflict,conflict,conflict
100706,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,responsibility,responsibility,conflict
100759,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,conflict,conflict,conflict
100903,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,human_interest,conflict,human_interest
100970,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,conflict,conflict,conflict
10099,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,responsibility,responsibility,responsibility
1011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,none,none,none
101114,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,conflict,conflict,conflict
101175,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,conflict,responsibility,responsibility
101400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,none,none,none
1014936,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,conflict,conflict,conflict
1014938,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,economic,economic,economic
1015016,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,conflict,responsibility,conflict
1015017,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,conflict,conflict,conflict
1015073,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,conflict,responsibility,conflict
