outlet,score,sigma,ci_low_95,ci_high_95,ci_spans_zero,label,n_direct_families,sparse,structural_prior_z,bootstrap_mean,bootstrap_std,D0_z,D1_z,D2_z,D3_z,D4_z,D6a_z,D6b_z,D7_z,D8_z
L'Humanité,-2.4117,0.3313,-3.0611,-1.7623,False,far-left,5,False,-0.75,-2.4081,0.0527,-2.4225,,,-2.8552,,-2.3068,-2.1082,-1.8879,
Blast,-1.6473,0.377,-2.3862,-0.9084,False,far-left,4,True,-0.75,-1.6455,0.0536,-1.512,,,-1.8759,,,-1.667,-1.0781,
Mediapart,-1.6344,0.2824,-2.1878,-1.081,False,far-left,7,False,-0.375,-1.6307,0.0511,-1.512,,-1.6023,-1.9481,-0.8353,-1.2815,-1.667,-1.7623,
Libération,-1.0798,0.2666,-1.6023,-0.5573,False,left,7,False,-0.75,-1.0765,0.0629,-0.4878,,-1.4314,-0.046,-0.8353,,-1.2257,-1.1021,-0.8353
Le HuffPost,-0.9962,0.415,-1.8097,-0.1828,False,left,4,True,-0.375,-0.996,0.0605,-1.0568,,,-0.0388,-1.6705,,,-1.0681,
Le Nouvel Obs,-0.8939,0.3313,-1.5433,-0.2444,False,left,5,False,-0.375,-0.8926,0.0536,-1.0568,,,-0.0261,,-1.2815,-0.7845,-0.8903,
Le Monde,-0.7071,0.2666,-1.2296,-0.1845,False,center-left,7,False,-0.375,-0.7054,0.0522,-1.0568,,-0.0641,-0.1766,-0.8353,,-0.7845,-0.3431,-0.8353
Marianne,-0.6508,0.3001,-1.2389,-0.0626,False,center-left,6,False,-0.375,-0.6486,0.0553,0.1951,,,-1.496,-0.8353,-0.2563,-0.3432,-0.4701,
Slate.fr,-0.5287,0.377,-1.2676,0.2102,True,center-left,4,True,0.0,-0.5305,0.0616,-0.4878,,,-0.101,,,-0.7845,-1.022,
Franceinfo,-0.4112,0.2664,-0.9333,0.1109,True,center-left,8,False,0.0,-0.4104,0.0529,-0.1463,-1.108,-0.0641,0.0647,-0.8353,-0.2563,-0.3432,-0.3869,
20 Minutes,-0.3136,0.2573,-0.818,0.1907,True,center-left,7,False,0.0,-0.3121,0.0486,-0.1463,,,0.0705,-0.8353,-0.2563,-0.3432,-0.5718,0.0
Ouest-France,-0.1625,0.3313,-0.8119,0.4869,True,center,5,False,0.0,-0.1623,0.0541,-0.1463,,,0.0524,,-0.2563,0.0981,-0.5419,
RFI,-0.1081,0.2573,-0.6124,0.3962,True,center,7,False,0.0,-0.1079,0.0483,-0.1463,,,-0.0972,0.0,-0.2563,-0.3432,0.2041,0.0
Challenges,-0.1048,0.377,-0.8437,0.6341,True,center,4,True,0.0,-0.104,0.0559,-0.4878,,,-0.0382,,,0.0981,0.0175,
France 24,-0.0264,0.2573,-0.5307,0.4779,True,center,7,False,0.0,-0.0261,0.0486,-0.1463,,,0.2546,0.0,-0.2563,-0.3432,0.4261,0.0
BFMTV,0.067,0.3168,-0.554,0.6879,True,center,6,False,0.0,0.0662,0.0552,0.1951,-0.2071,0.6196,0.1809,,,,-0.2635,0.0
Le Parisien,0.1026,0.2573,-0.4017,0.607,True,center,7,False,0.0,0.1016,0.0485,0.5365,,,0.0292,0.8353,-0.2563,-0.3432,0.0396,0.0
La Croix,0.1253,0.3313,-0.5242,0.7747,True,center,5,False,0.375,0.1237,0.063,0.1951,,,-0.0615,,0.2563,0.0981,-0.4601,
L'Express,0.1784,0.3091,-0.4274,0.7841,True,center,6,False,-0.375,0.1798,0.069,0.4227,,0.1068,0.1662,,0.7689,0.0981,0.4076,
TF1 INFO,0.3565,0.3425,-0.3148,1.0278,True,center-right,5,False,0.0,0.3567,0.0587,0.1951,,1.3032,0.4289,,,,0.1137,0.0
Les Echos,0.4287,0.3313,-0.2207,1.0782,True,center-right,5,False,0.375,0.4268,0.0569,0.5365,,,-0.1089,,0.7689,0.5393,-0.0503,
Le Point,0.5628,0.3346,-0.093,1.2187,True,center-right,5,False,0.375,0.5618,0.0567,0.6503,,,0.2463,0.8353,,0.5393,0.1469,
L'Opinion,0.5989,0.3313,-0.0505,1.2483,True,center-right,5,False,0.375,0.5974,0.0547,0.4227,,,0.2446,,0.7689,0.5393,0.6396,
JDD,0.9549,0.3313,0.3055,1.6043,False,right,5,False,0.375,0.954,0.0533,1.5608,,,-0.106,,-0.2563,1.4218,1.9393,
CNews,0.9573,0.3467,0.2778,1.6369,False,right,5,False,0.0,0.9568,0.0709,1.5608,1.3151,,0.1948,,,1.4218,0.8306,
Le Figaro,1.0236,0.2666,0.5011,1.5462,False,right,7,False,0.75,1.0202,0.0605,0.9918,,1.1323,0.2134,0.8353,,0.9806,0.8209,0.8353
Atlantico,1.0771,0.4022,0.2888,1.8654,False,right,4,True,0.375,1.0767,0.0608,,,,1.6618,,0.7689,0.9806,0.9621,
Causeur,1.5305,0.3346,0.8747,2.1864,False,far-right,5,False,0.75,1.5287,0.0538,1.2194,,,1.5955,1.2529,,1.4218,1.4645,
Fdesouche,1.8404,0.3516,1.1512,2.5296,False,far-right,5,False,0.75,1.8375,0.0541,,,,1.7973,1.6705,1.7942,1.4218,1.9631,
Valeurs actuelles,1.8725,0.3001,1.2843,2.4606,False,far-right,6,False,0.75,1.8689,0.0504,2.1299,,,1.7746,1.2529,1.7942,1.4218,1.9232,
