outlet,score,label
L'Humanité,-2.2835,far-left
Blast,-1.6092,far-left
Mediapart,-1.5047,far-left
Libération,-1.2468,left
Le HuffPost,-1.2023,left
Le Nouvel Obs,-1.0739,left
Le Monde,-0.8618,left
Franceinfo,-0.4908,center-left
Marianne,-0.4739,center-left
Slate.fr,-0.4555,center-left
20 Minutes,-0.3306,center-left
RFI,-0.169,center
France 24,-0.169,center
Challenges,-0.1566,center
Ouest-France,-0.1072,center
BFMTV,0.1125,center
L'Express,0.1213,center
Le Parisien,0.1248,center
La Croix,0.3274,center-right
TF1 INFO,0.3813,center-right
L'Opinion,0.6475,center-right
Les Echos,0.6783,center-right
Le Point,0.7271,center-right
Atlantico,0.8218,right
JDD,0.9172,right
CNews,1.1397,right
Le Figaro,1.1897,right
Causeur,1.4367,right
Fdesouche,1.7056,far-right
Valeurs actuelles,1.8038,far-right
