pair_id,outlet,target_bloc,sampling_side,label_with_group,label_without_group
102878::PA795076,L'Humanité,left,left,neu,neu
102666::PA719930,L'Humanité,left,left,neu,neu
121068::PA610968,L'Humanité,left,left,pos,pos
128719::PA609332,L'Humanité,left,left,pos,pos
129624::PA719930,L'Humanité,left,left,pos,neu
126743::PA609332,L'Humanité,left,left,neg,neg
173917::PA793444,L'Humanité,left,left,neu,neu
103383::PA795010,L'Humanité,left,left,neu,neu
128732::PA1654,L'Humanité,left,left,neu,neu
139995::PA795746,L'Humanité,left,left,neu,neu
1801919::PA721202,L'Humanité,left,left,neu,neu
1540101::PA793444,L'Humanité,left,left,neu,neu
165252::PA795318,L'Humanité,left,left,neu,neg
1804500::PA722142,L'Humanité,left,left,neu,neu
252943::PA721202,L'Humanité,left,left,neu,neu
1844445::PA588884,L'Humanité,left,left,neu,pos
258624::PA721202,L'Humanité,left,left,neu,neu
1808669::PA842105,L'Humanité,left,left,neu,neu
3587164::PA795876,L'Humanité,left,left,neu,neu
258057::PA842105,L'Humanité,left,left,neu,neu
197270::PA333285,L'Humanité,left,left,neu,neu
260674::PA795998,L'Humanité,left,left,neu,neu
4479062::PA1654,L'Humanité,left,left,neu,neu
4480543::PA721270,L'Humanité,left,left,neu,neu
4479091::PA795318,L'Humanité,left,left,neu,neu
4564500::PA721896,L'Humanité,left,left,neu,neu
4565240::PA722142,L'Humanité,left,left,neu,neu
4478941::PA791812,L'Humanité,left,left,neu,neu
4569303::PA719930,L'Humanité,left,left,neu,neu
4923291::PA722142,L'Humanité,left,left,neg,neg
4577390::PA795596,L'Humanité,left,left,neu,neu
573842::PA793174,L'Humanité,left,left,neu,neu
574200::PA736201,L'Humanité,left,left,neu,neu
5001935::PA795076,L'Humanité,left,left,neg,neg
574500::PA842271,L'Humanité,left,left,neu,neu
574561::PA793736,L'Humanité,left,left,neu,neu
78721::PA793464,L'Humanité,left,left,neg,neg
98267::PA795010,L'Humanité,left,left,neu,neu
100706::PA720614,L'Humanité,far_right,right_or_far_right,neg,neg
103120::PA720614,L'Humanité,far_right,right_or_far_right,neg,neg
135553::PA720614,L'Humanité,far_right,right_or_far_right,neu,neu
1802832::PA841207,L'Humanité,right,right_or_far_right,neu,neu
169946::PA720614,L'Humanité,far_right,right_or_far_right,neu,neu
1802939::PA841207,L'Humanité,right,right_or_far_right,neg,neg
138228::PA720614,L'Humanité,far_right,right_or_far_right,neg,neg
105884::PA267285,L'Humanité,right,right_or_far_right,neg,neu
1801787::PA720614,L'Humanité,far_right,right_or_far_right,neg,neu
