group,n,net,shrunk_net,targeted_share,targeted_shrunk,targeted_net,conflict_prev,conflict_shrunk,responsibility_prev,divisive_spread,divisive_lo,divisive_hi
DEM,256,-0.01953125,-0.02302948237408356,0.09765625,0.09439095484182758,-0.08,0.50390625,0.506627494624739,0.5703125,0.17511520737327188,-0.14 BFMTV,+0.03 Le Figaro
DR,1621,-0.15484268969771744,-0.1549682531357492,0.03763109191856878,0.03805624939253254,-0.4262295081967213,0.5447254780999383,0.5447338989761161,0.34114743985194323,0.7810457516339869,-0.72 L'Humanité,+0.06 Atlantico
ECOS,1270,-0.12440944881889764,-0.12472192531093038,0.07401574803149606,0.07379654895693516,-0.35106382978723405,0.573228346456693,0.5728424063612927,0.3480314960629921,0.4548631333721608,-0.40 JDD,+0.06 La Croix
EPR,3579,-0.05644034646549315,-0.05694865934477983,0.034087734003911706,0.03430864365079926,-0.3770491803278688,0.4188320759988824,0.41946323007318365,0.393964794635373,0.6412715812551384,-0.44 L'Humanité,+0.20 La Croix
GDR,61,0.04918032786885246,0.016340191402146376,0.0,0.01952311665998623,,0.4098360655737705,0.4406438661458922,0.4918032786885246,,,
HOR,117,-0.042735042735042736,-0.05366623122407045,0.10256410256410256,0.09522625027243659,-0.75,0.28205128205128205,0.3170472011451399,0.47863247863247865,,,
LFI-NFP,3060,-0.28104575163398693,-0.2806324940147485,0.09934640522875816,0.099032169041798,-0.5328947368421053,0.6313725490196078,0.6308724745270262,0.41013071895424835,0.5358974358974359,-0.60 L'Opinion,-0.06 L'Humanité
LIOT,186,-0.043010752688172046,-0.048341909045105186,0.03225806451612903,0.03622925178231252,-0.5,0.46774193548387094,0.4745758416112686,0.543010752688172,0.058823529411764705,-0.06 JDD,+0.00 CNEWS
RN,5383,-0.2951885565669701,-0.29494619685069684,0.07913802712242245,0.07905984192045741,-0.6197183098591549,0.5710570313951329,0.5709722043595608,0.32881292959316366,0.4861443381180224,-0.58 Mediapart,-0.09 CNEWS
SOC,3007,-0.10375789823744595,-0.10390865707077426,0.03957432657133356,0.039787928225326646,-0.226890756302521,0.5610242766877286,0.5609322659813772,0.32823412038576655,0.7100840336134454,-0.36 JDD,+0.35 Ouest-France
UDDPLR,1310,-0.13282442748091602,-0.13371552774086198,0.0648854961832061,0.0648577172911358,-0.4823529411764706,0.5755725190839694,0.5751665646900557,0.3984732824427481,0.8602941176470589,-0.62 Mediapart,+0.24 La Croix
