pair_id,human_role(source/patient/agent)_coder1,human_label(neg/neu/pos)_coder1,human_frame_conflict(0/1)_coder1,human_frame_human_interest(0/1)_coder1,human_frame_economic(0/1)_coder1,human_frame_morality(0/1)_coder1,human_frame_responsibility(0/1)_coder1,human_role(source/patient/agent)_coder2,human_label(neg/neu/pos)_coder2,human_frame_conflict(0/1)_coder2,human_frame_human_interest(0/1)_coder2,human_frame_economic(0/1)_coder2,human_frame_morality(0/1)_coder2,human_frame_responsibility(0/1)_coder2
1482271::PA759832,source,neu,0,0,1,0,1,source,neu,0,0,1,0,1
2583606::PA721908,patient,pos,0,0,0,0,0,patient,pos,0,0,0,0,0
1754774::PA791812,agent,neu,0,0,0,0,0,agent,neu,0,0,0,0,0
1720123::PA721908,source,neu,0,0,0,0,1,source,neu,0,0,0,0,1
595382::PA793444,source,neu,1,0,0,0,1,source,neu,1,0,0,0,0
1999845::PA609332,source,neu,0,0,0,0,1,source,neu,0,0,0,0,1
1491744::PA267285,agent,neu,1,1,0,0,0,agent,neu,0,1,0,0,0
2509535::PA720614,agent,neu,0,0,0,0,0,agent,neu,0,0,0,0,0
4609168::PA719930,patient,neg,1,0,0,0,1,patient,neg,1,0,0,0,0
594606::PA720614,agent,pos,0,0,0,0,0,agent,pos,0,0,0,0,0
1813903::PA722190,agent,neg,0,0,0,0,1,agent,neg,0,0,0,0,1
2529836::PA795076,source,neu,0,1,0,1,1,source,neu,0,0,0,1,0
4876026::PA609332,agent,pos,0,0,0,0,0,patient,neu,0,0,0,0,0
3720651::PA795076,source,neu,0,0,0,0,1,source,neu,0,0,0,1,1
919522::PA720614,agent,neu,0,0,0,0,0,agent,neu,0,0,0,0,0
2407364::PA722190,patient,pos,0,0,0,0,0,patient,pos,0,0,0,0,0
1226237::PA720614,source,neu,0,0,0,0,1,source,neu,0,0,0,0,1
1749102::PA721908,source,neu,0,1,0,0,0,source,neu,0,1,0,0,0
543248::PA1654,source,neu,1,0,0,1,1,source,neu,1,0,0,0,0
2528930::PA720614,patient,neg,0,0,0,0,0,patient,neg,0,0,0,0,0
4890713::PA722190,agent,neu,1,0,0,0,0,agent,neu,1,0,0,0,0
1914990::PA794670,patient,neg,1,0,0,1,0,patient,neg,1,0,0,1,0
4611589::PA330240,patient,neg,1,0,0,0,1,patient,neg,1,0,0,0,1
4715101::PA720468,source,neg,0,1,0,1,1,source,neu,0,1,0,0,0
1965024::PA330240,patient,neg,1,0,0,0,0,agent,pos,1,0,0,0,0
4617632::PA841207,agent,pos,1,0,0,0,0,agent,pos,0,0,0,0,1
4871661::PA942,source,neu,1,0,1,0,1,agent,neu,1,0,1,0,0
4574797::PA722190,agent,neg,0,0,0,0,0,agent,neu,0,0,0,0,0
4510602::PA720614,agent,neu,1,0,1,0,1,source,neu,1,0,1,0,1
1659037::PA330240,source,neu,0,0,1,0,1,source,neu,0,0,1,0,1
4549100::PA720614,patient,neg,0,0,0,0,0,patient,neg,0,0,0,0,0
4558953::PA1654,agent,pos,0,0,0,0,0,agent,neu,0,0,0,0,0
4549523::PA722190,agent,neu,0,0,1,0,1,agent,neu,0,0,1,0,1
4388149::PA609332,source,neu,0,0,0,0,0,source,neu,0,0,0,0,0
