target_uid,name,mandate_start,mandate_end,sycomore_fid,source_url,retrieved
PA1008,Alain David,2024-07-08,,19110,https://www2.assemblee-nationale.fr/sycomore/fiche/19110,2026-09-13
PA1567,Jérôme Guedj,2024-07-08,,18318,https://www2.assemblee-nationale.fr/sycomore/fiche/18318,2026-09-13
PA1592,David Habib,2024-07-08,,10692,https://www2.assemblee-nationale.fr/sycomore/fiche/10692,2026-09-13
PA1630,Michel Herbillon,2024-07-08,,3808,https://www2.assemblee-nationale.fr/sycomore/fiche/3808,2026-09-13
PA1654,François Hollande,2024-07-08,,3853,https://www2.assemblee-nationale.fr/sycomore/fiche/3853,2026-09-13
PA227089,Valérie Létard,2024-07-08,2024-10-21,19965,https://www2.assemblee-nationale.fr/sycomore/fiche/19965,2026-09-13
PA227089,Valérie Létard,2025-11-06,,19965,https://www2.assemblee-nationale.fr/sycomore/fiche/19965,2026-09-13
PA266793,Jean-Yves Bony,2024-07-08,,17390,https://www2.assemblee-nationale.fr/sycomore/fiche/17390,2026-09-13
PA266797,Philippe Gosselin,2024-07-08,,17317,https://www2.assemblee-nationale.fr/sycomore/fiche/17317,2026-09-13
PA266808,Vincent Rolland,2024-07-08,,11051,https://www2.assemblee-nationale.fr/sycomore/fiche/11051,2026-09-13
PA267042,Yannick Favennec-Bécot,2024-07-08,,10671,https://www2.assemblee-nationale.fr/sycomore/fiche/10671,2026-09-13
PA267200,Sébastien Huyghe,2024-07-08,,10699,https://www2.assemblee-nationale.fr/sycomore/fiche/10699,2026-09-13
PA267285,Laurent Wauquiez,2024-07-08,,13402,https://www2.assemblee-nationale.fr/sycomore/fiche/13402,2026-09-13
PA267318,Jean-Carles Grelier,2024-07-08,,19181,https://www2.assemblee-nationale.fr/sycomore/fiche/19181,2026-09-13
PA267763,Jean-Pierre Bataille,2024-07-08,,19893,https://www2.assemblee-nationale.fr/sycomore/fiche/19893,2026-09-13
PA267780,Agnès Firmin Le Bodo,2024-07-08,,19155,https://www2.assemblee-nationale.fr/sycomore/fiche/19155,2026-09-13
PA267794,Michèle Tabarot,2024-07-08,,10776,https://www2.assemblee-nationale.fr/sycomore/fiche/10776,2026-09-13
PA2940,Dominique Voynet,2024-07-08,,7481,https://www2.assemblee-nationale.fr/sycomore/fiche/7481,2026-09-13
PA2952,Jean-Luc Warsmann,2024-07-08,,7453,https://www2.assemblee-nationale.fr/sycomore/fiche/7453,2026-09-13
PA309643,Véronique Besse,2024-07-08,,13861,https://www2.assemblee-nationale.fr/sycomore/fiche/13861,2026-09-13
PA330008,Xavier Breton,2024-07-08,,17275,https://www2.assemblee-nationale.fr/sycomore/fiche/17275,2026-09-13
PA330240,Éric Ciotti,2024-07-08,,17297,https://www2.assemblee-nationale.fr/sycomore/fiche/17297,2026-09-13
PA330909,Vincent Descoeur,2024-07-08,,17283,https://www2.assemblee-nationale.fr/sycomore/fiche/17283,2026-09-13
PA331582,Philippe Vigier,2024-07-08,,17214,https://www2.assemblee-nationale.fr/sycomore/fiche/17214,2026-09-13
PA331973,Pascale Got,2024-07-08,,17318,https://www2.assemblee-nationale.fr/sycomore/fiche/17318,2026-09-13
