pair_id,article_id,outlet_id,outlet,date,category,target_uid,target_full_name,target_group,target_bloc,role_bucket,match_type,rank,role(source/patient/agent),label(pos/neg/neu),held_seat,gov_tenure,surname_misattrib,disambig_drop,in_analysis,frame_conflict,frame_human_interest,frame_economic,frame_morality,frame_responsibility,dominant
2106661::PA720614,2106661,10,Les Echos,2024-12-31,Politique,PA720614,Marine Le Pen,RN,far_right,plain,full_name,2.443899583981209e+18,agent,neu,True,False,False,False,True,0.0,0.0,0.0,0.0,0.0,none
3106882::PA722190,3106882,10,Les Echos,2024-08-29,Société,PA722190,Gabriel Attal,EPR,centre,plain,full_name,4.760193568549302e+18,agent,neg,True,True,False,False,True,0.0,0.0,1.0,0.0,1.0,economic
3106886::PA722190,3106886,10,Les Echos,2024-08-21,Politique,PA722190,Gabriel Attal,EPR,centre,source_like,full_name,1.612599472376371e+19,patient,neg,True,True,False,False,True,1.0,0.0,1.0,0.0,1.0,conflict
3106966::PA722190,3106966,10,Les Echos,2024-08-20,Politique,PA722190,Gabriel Attal,EPR,centre,plain,full_name,7.02958091466816e+18,agent,neu,True,True,False,False,True,0.0,0.0,1.0,0.0,1.0,economic
3107109::PA721202,3107109,10,Les Echos,2024-09-12,Politique,PA721202,Éric Coquerel,LFI-NFP,left,source_like,full_name,8.871953611735285e+18,source,neu,True,False,False,False,True,0.0,0.0,1.0,0.0,1.0,responsibility
3107255::PA721202,3107255,10,Les Echos,2024-07-31,Politique,PA721202,Éric Coquerel,LFI-NFP,left,plain,full_name,5.130624359940916e+18,agent,neu,True,False,False,False,True,0.0,0.0,1.0,0.0,1.0,economic
3107475::PA722190,3107475,10,Les Echos,2024-09-02,Société,PA722190,Gabriel Attal,EPR,centre,plain,surname_only,1.1815481120772336e+19,agent,neu,True,True,False,False,True,0.0,0.0,0.0,0.0,0.0,none
3107496::PA722190,3107496,10,Les Echos,2024-09-06,Économie,PA722190,Gabriel Attal,EPR,centre,plain,full_name,1.6298486552371296e+19,agent,neu,True,False,False,False,True,0.0,0.0,1.0,0.0,1.0,economic
3107740::PA722190,3107740,10,Les Echos,2024-09-13,Société,PA722190,Gabriel Attal,EPR,centre,plain,full_name,4.5379413101218217e+18,agent,neg,True,False,False,False,True,0.0,0.0,0.0,0.0,1.0,none
3110906::PA722190,3110906,10,Les Echos,2024-09-30,Politique,PA722190,Gabriel Attal,EPR,centre,plain,surname_only,1.125890227664681e+19,agent,neg,True,False,False,False,True,0.0,0.0,0.0,0.0,1.0,responsibility
3111231::PA267285,3111231,10,Les Echos,2024-09-15,Politique,PA267285,Laurent Wauquiez,DR,right,plain,full_name,1.4569990114556875e+19,source,neu,True,False,False,False,True,0.0,0.0,0.0,0.0,1.0,responsibility
3112666::PA717161,3112666,10,Les Echos,2024-08-21,Économie,PA717161,Élisabeth Borne,EPR,centre,plain,full_name,5.237800224291797e+18,agent,neu,True,False,False,False,True,0.0,0.0,0.0,0.0,0.0,none
3114682::PA267285,3114682,10,Les Echos,2024-09-19,International,PA267285,Laurent Wauquiez,DR,right,plain,full_name,4.721992192649841e+18,agent,neu,True,False,False,False,True,0.0,0.0,0.0,0.0,0.0,none
3115746::PA717161,3115746,10,Les Echos,2024-08-21,Politique,PA717161,Élisabeth Borne,EPR,centre,plain,full_name,5.516324893329776e+18,agent,neu,True,False,False,False,True,1.0,0.0,0.0,0.0,0.0,conflict
3115774::PA722190,3115774,10,Les Echos,2024-08-13,Politique,PA722190,Gabriel Attal,EPR,centre,plain,full_name,1.321784670114057e+19,agent,neu,True,True,False,False,True,0.0,0.0,0.0,0.0,1.0,responsibility
3115777::PA722190,3115777,10,Les Echos,2024-08-22,Politique,PA722190,Gabriel Attal,EPR,centre,plain,full_name,1.3773951651057936e+19,patient,neu,True,True,False,False,True,0.0,0.0,0.0,0.0,0.0,none
3115866::PA1654,3115866,10,Les Echos,2024-08-28,Politique,PA1654,François Hollande,SOC,left,source_like,full_name,9.215240147878098e+18,source,neu,True,False,False,False,True,1.0,0.0,0.0,0.0,1.0,conflict
3115867::PA722190,3115867,10,Les Echos,2024-08-22,Politique,PA722190,Gabriel Attal,EPR,centre,plain,full_name,9.51838966537286e+18,agent,pos,True,True,False,False,True,0.0,1.0,0.0,0.0,0.0,human_interest
3115890::PA722190,3115890,10,Les Echos,2024-08-13,Politique,PA722190,Gabriel Attal,EPR,centre,plain,full_name,1.4249193897770516e+19,agent,pos,True,True,False,False,True,0.0,0.0,0.0,0.0,1.0,responsibility
3115937::PA330240,3115937,10,Les Echos,2024-08-31,Politique,PA330240,Éric Ciotti,UDDPLR,right,plain,full_name,5.421207132720045e+18,agent,neu,True,False,False,False,True,0.0,0.0,0.0,0.0,1.0,responsibility
3115940::PA267285,3115940,10,Les Echos,2024-08-28,Politique,PA267285,Laurent Wauquiez,DR,right,plain,full_name,8.984771113248048e+18,source,neu,True,False,False,False,True,1.0,0.0,0.0,0.0,1.0,conflict
3116041::PA267285,3116041,10,Les Echos,2024-08-25,Politique,PA267285,Laurent Wauquiez,DR,right,plain,full_name,2.807096597288552e+18,source,neu,True,False,False,False,True,1.0,0.0,0.0,0.0,0.0,conflict
3116808::PA267285,3116808,10,Les Echos,2024-07-18,Politique,PA267285,Laurent Wauquiez,DR,right,plain,full_name,1.0846273537947603e+19,agent,neu,True,False,False,False,True,0.0,0.0,1.0,0.0,0.0,economic
3116895::PA267285,3116895,10,Les Echos,2024-09-05,Politique,PA267285,Laurent Wauquiez,DR,right,plain,full_name,1.5363618617911073e+19,agent,pos,True,False,False,False,True,0.0,0.0,0.0,0.0,0.0,none
