uid,name,group,bloc,n,net,shrunk_net,targeted_share,targeted_shrunk,conflict_prev,conflict_shrunk,divisive_spread,divisive_lo,divisive_hi
PA1567,Jérôme Guedj,SOC,left,233,-0.17167381974248927,-0.1675306433431476,0.034334763948497854,0.0373721088060027,0.6695278969957081,0.660668387142208,0.10774410774410775,-0.18 Le Figaro,-0.07 Franceinfo
PA1654,François Hollande,SOC,left,783,-0.10983397190293742,-0.10977959305779625,0.035759897828863345,0.036687404470178445,0.49680715197956576,0.49789670777626094,0.5166666666666667,-0.42 Marianne,+0.10 Challenges
PA267285,Laurent Wauquiez,DR,right,1293,-0.2003093580819799,-0.20001016484385206,0.038669760247486466,0.039179256128020305,0.6202629543696829,0.6192407194331473,0.7699468085106383,-0.81 L'Humanité,-0.04 CNEWS
PA330240,Éric Ciotti,UDDPLR,right,963,-0.08203530633437175,-0.08376050890589785,0.04153686396677051,0.0421377827619504,0.5669781931464174,0.5665856664859512,0.5055555555555555,-0.43 Libération,+0.07 JDD
PA346782,Philippe Juvin,DR,right,84,0.03571428571428571,0.016108516372813887,0.023809523809523808,0.03348674072874551,0.16666666666666666,0.2332837098907461,,,
PA368,Michel Barnier,DR,right,75,0.013333333333333334,-0.007574622360477581,0.04,0.0462363690308644,0.29333333333333333,0.3419708225791675,,,
PA588884,Clémentine Autain,ECOS,left,86,-0.08139534883720931,-0.08280256526899182,0.03488372093023256,0.04173835143705653,0.4418604651162791,0.45973395871498185,,,
PA609332,Olivier Faure,SOC,left,1342,-0.11102831594634874,-0.11166638407581929,0.05067064083457526,0.05092459595747893,0.6296572280178837,0.6285480132763757,0.5596816976127321,-0.48 JDD,+0.08 La Croix
PA717161,Élisabeth Borne,EPR,centre,372,-0.07258064516129033,-0.07588824344090854,0.013440860215053764,0.01683766352494379,0.4381720430107527,0.4431052679026471,0.4105263157894737,-0.20 20 Minutes,+0.21 Le Monde
PA717379,Sylvain Maillard,EPR,centre,91,0.02197802197802198,0.01220546712691753,0.02197802197802198,0.031501451323465504,0.4065934065934066,0.4294495927568438,,,
PA719372,Guillaume Kasbarian,EPR,centre,57,-0.22807017543859648,-0.21479646816934622,0.07017543859649122,0.068030231503661,0.3508771929824561,0.3974339538427226,,,
PA719930,Boris Vallaud,SOC,left,331,-0.09667673716012085,-0.09691697608725394,0.030211480362537766,0.03272928154744256,0.5317220543806647,0.5324295568600071,0.25338753387533874,-0.28 L'Opinion,-0.02 Franceinfo
PA719938,Marc Fesneau,DEM,centre,68,0.0,-0.0070829058431329806,0.0,0.018085661381464783,0.35294117647058826,0.3931071418882691,,,
PA720038,Sandrine Josso,DEM,centre,102,0.0196078431372549,0.004804076165177154,0.22549019607843138,0.19151660893671962,0.6568627450980392,0.6402182869312772,,,
PA720468,Sébastien Chenu,RN,far_right,235,-0.04680851063829787,-0.04728961654797766,0.08936170212765958,0.08669158374510794,0.6893617021276596,0.679166743095422,0.0,+0.00 CNEWS,+0.00 CNEWS
PA720614,Marine Le Pen,RN,far_right,4297,-0.3400046544100535,-0.3396251796560157,0.0816848964393763,0.0815711294767594,0.5676053060274611,0.5675134669955173,0.3640843142622502,-0.54 France 24,-0.17 CNEWS
PA720892,Mathilde Panot,LFI-NFP,left,239,-0.0502092050209205,-0.051703320728150634,0.04602510460251046,0.04780449872636672,0.7112970711297071,0.6997306049881075,0.19384615384615386,-0.15 CNEWS,+0.04 Le Parisien
PA721024,Anne Genetet,EPR,centre,59,-0.3050847457627119,-0.28231686714634435,0.01694915254237288,0.03159493628842251,0.2542372881355932,0.322100783279398,,,
PA721202,Éric Coquerel,LFI-NFP,left,309,-0.03559870550161812,-0.039408805564942806,0.02912621359223301,0.03189625836690677,0.5922330097087378,0.5896706787376932,0.17424242424242425,-0.08 BFMTV,+0.09 Libération
PA721210,Alexis Corbière,ECOS,left,100,-0.14,-0.1332548882962375,0.22,0.18666135718054733,0.67,0.6510765121647251,,,
PA721908,Yaël Braun-Pivet,EPR,centre,715,-0.004195804195804196,-0.007406841547587917,0.03776223776223776,0.0387016880008222,0.45034965034965035,0.4526763842085228,0.4497751124437781,-0.28 JDD,+0.17 La Croix
PA722142,François Ruffin,ECOS,left,519,-0.10211946050096339,-0.10382146918754254,0.055876685934489405,0.05625528901521124,0.5452793834296724,0.5452865975303269,0.46212121212121215,-0.25 Marianne,+0.21 BFMTV
PA722190,Gabriel Attal,EPR,centre,1726,-0.05909617612977984,-0.060389374832581416,0.02085747392815759,0.02151619547609383,0.4235225955967555,0.42477617353916786,0.7222222222222222,-0.50 Atlantico,+0.22 La Croix
PA759832,Agnès Pannier-Runacher,EPR,centre,75,-0.04,-0.05331282655721355,0.08,0.07562737343812954,0.38666666666666666,0.4173018554985372,,,
PA791812,Sophia Chikirou,LFI-NFP,left,297,-0.43434343434343436,-0.42578930055153574,0.1111111111111111,0.10713494458870008,0.5387205387205387,0.539106121145526,0.38339920948616596,-0.57 JDD,-0.18 Le Parisien
PA793432,Franck Allisio,RN,far_right,132,-0.030303030303030304,-0.04230698041272386,0.08333333333333333,0.07996025105273126,0.48484848484848486,0.49209878399413914,,,
PA793444,Manuel Bompard,LFI-NFP,left,350,-0.06857142857142857,-0.06836449991155383,0.09714285714285714,0.0947284241548889,0.6657142857142857,0.6598578883682668,0.19047619047619047,-0.19 JDD,+0.00 Franceinfo
PA793464,Sébastien Delogu,LFI-NFP,left,382,-0.4895287958115183,-0.4811842811253232,0.14397905759162305,0.13865391486921472,0.581151832460733,0.5795538372202287,0.2649350649350649,-0.63 Valeurs actuelles,-0.36 20 Minutes
PA793624,Philippe Brun,SOC,left,74,0.12162162162162163,0.08013257538842866,0.0,0.01701203152140666,0.3108108108108108,0.35656965014668435,,,
PA793756,François Piquemal,LFI-NFP,left,49,-0.16326530612244897,-0.16358920357229229,0.08163265306122448,0.07518452627304623,0.7551020408163265,0.6989657721836554,,,
PA794130,Andy Kerbrat,LFI-NFP,left,127,-0.7559055118110236,-0.7147282821475162,0.05511811023622047,0.05659326916660121,0.36220472440944884,0.3848729775780393,,,
PA794322,Thomas Ménagé,RN,far_right,32,0.0,-0.019279332773526267,0.0,0.029107520898978032,0.40625,0.4562412687636246,,,
PA794486,Violette Spillebout,EPR,centre,40,-0.075,-0.10578362051847545,0.0,0.02563572936096908,0.55,0.5486061697423001,,,
PA794598,Laurent Jacobelli,RN,far_right,64,-0.25,-0.22875907394560163,0.109375,0.09574222927689258,0.5625,0.5587797470973243,,,
PA794718,Christine Engrand,NI,other,39,-0.9230769230769231,-0.7808632840139664,0.20512820512820512,0.14710367268163682,0.6923076923076923,0.6460814872844033,,,
PA795046,Caroline Yadan,EPR,centre,45,-0.3111111111111111,-0.2895239877089584,0.044444444444444446,0.05160725946585391,0.5777777777777777,0.5685824157138806,,,
PA795076,Sandrine Rousseau,ECOS,left,359,-0.2618384401114206,-0.2576076917609222,0.07799442896935933,0.07697900183716837,0.6796657381615598,0.6732857673591089,0.5555555555555556,-0.56 JDD,+0.00 Franceinfo
PA795310,Clémence Guetté,LFI-NFP,left,39,-0.10256410256410256,-0.10550946107724998,0.02564102564102564,0.04115871929507485,0.5128205128205128,0.523108761896973,,,
PA795318,Louis Boyard,LFI-NFP,left,244,-0.2786885245901639,-0.27975901403510206,0.12704918032786885,0.1207038540213333,0.7213114754098361,0.7092805305233882,0.4204545454545454,-0.55 CNEWS,-0.12 Le HuffPost
PA795466,Ersilia Soudais,LFI-NFP,left,104,-0.4807692307692308,-0.45005836740188065,0.07692307692307693,0.07415342202524725,0.8173076923076923,0.7773502239856046,,,
PA795528,Charles Rodwell,EPR,centre,61,0.08196721311475409,0.048274768010751104,0.04918032786885246,0.05358613759295817,0.3114754098360656,0.36462058472753084,,,
PA795552,Julien Odoul,RN,far_right,93,-0.27956989247311825,-0.2625499345530752,0.11827956989247312,0.1059317394562109,0.6774193548387096,0.6561028333286834,,,
PA795596,Paul Vannier,LFI-NFP,left,41,-0.12195121951219512,-0.12662715174896455,0.024390243902439025,0.03994944997634273,0.6585365853658537,0.6241518711001601,,,
PA795722,Karl Olive,EPR,centre,94,-0.3191489361702128,-0.29901694290292624,0.24468085106382978,0.2041713290165378,0.35106382978723405,0.38219978951184,,,
PA795746,Antoine Léaument,LFI-NFP,left,56,-0.30357142857142855,-0.27687690885582716,0.14285714285714285,0.11700013594783061,0.7142857142857143,0.6733613527024157,,,
PA795778,Jean-Philippe Tanguy,RN,far_right,202,-0.0297029702970297,-0.031187752151591266,0.024752475247524754,0.029333307710255562,0.6633663366336634,0.6537601571004698,0.045454545454545456,-0.05 Le Figaro,+0.00 BFMTV
PA795912,Laure Lavalette,RN,far_right,124,-0.008064516129032258,-0.031481392697703475,0.016129032258064516,0.024620311427681823,0.4435483870967742,0.4564230803017435,,,
PA795920,Prisca Thevenot,EPR,centre,42,-0.11904761904761904,-0.1128935912276246,0.11904761904761904,0.09728162253120827,0.6666666666666666,0.6304240358382751,,,
PA796062,Thomas Portes,LFI-NFP,left,96,-0.5,-0.4686193584391233,0.15625,0.13585083850691348,0.90625,0.8494935837494927,,,
PA796078,Estelle Youssouffa,LIOT,centre,41,0.024390243902439025,-0.005126793176462759,0.024390243902439025,0.03994944997634273,0.6829268292682927,0.6411231174644673,,,
PA796090,Aymeric Caron,LFI-NFP,left,108,-0.3425925925925926,-0.32641149687071913,0.14814814814814814,0.13118510585964221,0.8518518518518519,0.8082468289464122,,,
PA826635,Aurélien Rousseau,SOC,left,32,-0.0625,-0.08469854841110594,0.0,0.029107520898978032,0.21875,0.33605664481816155,,,
PA841207,Charles Alloncle,UDDPLR,right,280,-0.2892857142857143,-0.28762544226806047,0.12857142857142856,0.12283580077588746,0.6178571428571429,0.6135038340115949,0.8708133971291867,-0.82 L'Humanité,+0.05 Valeurs actuelles
PA841327,Fabrice Roussel,SOC,left,43,-0.16279069767441862,-0.16528227455426048,0.06976744186046512,0.06735126234836478,0.6046511627906976,0.587247964955459,,,
PA842105,Raphaël Arnault,LFI-NFP,left,247,-0.30364372469635625,-0.2983325775555122,0.08906882591093117,0.08654454574798806,0.4817813765182186,0.4860919102653991,0.5833333333333334,-0.58 CNEWS,+0.00 Franceinfo
PA842155,Aly Diouara,LFI-NFP,left,78,-0.2564102564102564,-0.25411695037040855,0.3076923076923077,0.24477909638117493,0.782051282051282,0.7378509734289562,,,
PA942,Charles de Courson,LIOT,centre,93,-0.053763440860215055,-0.0663508108595798,0.021505376344086023,0.030976742168239386,0.5268817204301075,0.5298893714989855,,,
