pair_id,paraphrased_label
1233671::PA722190,neu
2669855::PA793444,neu
1977911::PA642847,neu
1360529::PA1567,neu
2198117::PA842105,neu
1802434::PA721202,neu
4876628::PA720614,neu
4430194::PA721908,pos
2971552::PA793532,neu
2986655::PA721908,neu
4375505::PA795722,neg
589913::PA720614,neu
1657881::PA720614,neg
1226242::PA720614,neu
2722907::PA791812,neu
1889911::PA720614,neu
4560234::PA842105,neu
2358253::PA717379,neu
1617542::PA720614,neu
4627570::PA720614,neu
4873322::PA330240,neu
1933271::PA793464,neg
1238072::PA720468,neu
116070::PA793464,neg
4687932::PA722190,neu
1882596::PA793464,neg
533528::PA267285,neu
4717920::PA609332,neu
251682::PA720614,neu
2018225::PA842105,neu
4375344::PA720614,pos
2678820::PA795076,pos
1513916::PA722190,neu
2835814::PA720614,neg
2698832::PA721024,neu
1881861::PA609332,neu
1668287::PA796062,neg
2651273::PA609332,pos
3595047::PA330240,neu
1383208::PA720614,neg
1181614::PA609332,neu
3582950::PA720614,neu
1193387::PA267285,neu
2820651::PA720892,neg
4571011::PA720614,pos
467006::PA267285,neu
1326211::PA720614,neg
1344074::PA720614,neu
2231164::PA720614,neg
4439672::PA720614,neu
1731005::PA720614,neg
1408648::PA720614,neu
1240050::PA793464,neu
4501809::PA720614,pos
2585724::PA795076,neu
136882::PA720614,neu
1739070::PA841463,neu
2686081::PA793444,neu
4619750::PA335999,neu
5047960::PA717379,pos
1737049::PA722190,neu
4520033::PA794322,neu
4591687::PA609332,neu
2646953::PA719930,neg
1430945::PA720614,neg
2302381::PA721024,neu
1922814::PA791812,neu
1818968::PA791812,pos
2357380::PA720614,neu
521007::PA722190,neu
1131042::PA794008,neu
4574519::PA841207,neg
4578716::PA719930,neu
1244182::PA796062,neg
1729973::PA722190,neu
2274235::PA722190,pos
1212810::PA720614,neg
4412860::PA791812,neg
2344436::PA721764,neu
2407188::PA721202,neu
4553910::PA720614,neu
4609794::PA609332,neu
1808467::PA1654,neu
1687726::PA2940,neu
895857::PA1654,neg
596984::PA722190,neu
2900212::PA793432,pos
2804728::PA721210,neg
1184164::PA721908,pos
4621943::PA719930,neu
4370918::PA791812,neg
2405768::PA793464,neu
471841::PA720614,neu
97014::PA722190,pos
3246291::PA796062,neu
1382506::PA720614,neu
2688::PA720038,pos
251849::PA720614,neu
1238466::PA267285,neu
4555564::PA793444,neg
2967354::PA267285,neu
13354::PA720614,neg
2408246::PA1567,neu
595459::PA267285,neu
1705959::PA793444,neu
1352040::PA643104,neu
1050963::PA720614,neg
2615795::PA330240,neg
1465990::PA720614,neu
1962629::PA720892,neu
4873691::PA721202,neu
4549488::PA609332,neu
2569785::PA267285,neg
4579589::PA330240,neg
1654901::PA720614,neg
2404017::PA720614,neu
2350848::PA720614,neu
1653530::PA841853,neu
4564612::PA722190,neu
895083::PA267285,neg
4988047::PA720468,neu
1664958::PA720468,neu
4583052::PA719930,neu
589773::PA720614,neg
2619117::PA720614,neu
2837176::PA609332,pos
1679319::PA720614,neu
2344524::PA721960,neu
257645::PA719372,neg
2713384::PA942,neu
1242051::PA717161,pos
2403792::PA795552,neu
2720910::PA720468,neu
2729892::PA795164,neg
1632865::PA841207,neu
2599196::PA608416,pos
2693661::PA720468,neu
8929::PA719930,pos
861781::PA721908,pos
1741492::PA609332,neu
2670376::PA267285,pos
2343770::PA793444,neu
1608062::PA793444,neu
594892::PA795466,neu
1329135::PA796062,neg
