target_uid,target_full_name,target_group,excluded_pairs,first_date,last_date
PA368,Michel Barnier,DR,4284,2024-08-04,2025-09-28
PA717161,Élisabeth Borne,EPR,548,2025-01-24,2025-11-12
PA759832,Agnès Pannier-Runacher,EPR,134,2024-10-24,2025-10-12
PA719372,Guillaume Kasbarian,EPR,69,2024-10-27,2024-12-26
PA721024,Anne Genetet,EPR,55,2024-10-22,2025-01-15
PA795884,Marc Ferracci,EPR,55,2024-11-07,2025-11-03
PA795050,Astrid Panosyan-Bouvet,EPR,49,2024-10-30,2025-11-02
PA794038,Yannick Neuder,DR,28,2025-02-14,2025-10-12
PA794994,Alexandre Portier,DR,23,2024-10-25,2024-12-06
PA605782,Laurent Marcangeli,HOR,16,2025-01-24,2025-09-04
PA227089,Valérie Létard,LIOT,14,2024-10-23,2025-04-29
PA842141,Élisabeth de Maistre,DR,13,2025-01-09,2025-02-09
PA878242,Antoine Valentin,UDDPLR,12,2026-01-25,2026-02-01
PA720480,Charlotte Parmentier-Lecocq,nan,6,2026-02-03,2026-02-09
PA332523,Marie-Christine Dalloz,DR,6,2025-03-30,2025-04-06
PA643089,Jean-Louis Thiériot,DR,5,2024-10-31,2024-12-08
PA608416,Patrick Hetzel,DR,5,2024-11-10,2025-01-13
PA719914,Geneviève Darrieussecq,DEM,4,2024-10-29,2024-11-26
PA841973,Pierre-Henri Carbonnel,UDDPLR,2,2025-10-12,2025-10-12
PA840745,Édouard Jordan,nan,2,2025-03-10,2025-05-26
PA842147,Christophe Mongardien,EPR,1,2024-10-21,2024-10-21
PA840175,Dorine Bregman,nan,1,2026-04-09,2026-04-09
PA793194,Lionel Vuibert,NI,1,2024-12-08,2024-12-08
PA795270,Marie-Agnès Poussier-Winsback,HOR,1,2024-10-29,2024-10-29
PA718674,Olga Givernet,EPR,1,2024-11-07,2024-11-07
PA793556,Sabine Gervais,nan,1,2026-04-01,2026-04-01
