acteur_uid,prenom,nom,groupe_uid,groupe_libelle,groupe_libelle_abrev,aligned_votes,compared_votes,alignment_pct,refreshed_at
PA793214,Audrey,Abadie-Amiel,PO845485,"Libertés, Indépendants, Outre-mer et Territoires",LIOT,347,382,90.8,2026-05-31T18:39:03.755143+00:00
PA795228,Nadège,Abomangoli,PO845413,La France insoumise - Nouveau Front Populaire,LFI-NFP,500,505,99.0,2026-05-31T18:39:03.755143+00:00
PA794278,Xavier,Albertini,PO845470,Horizons & Indépendants,HOR,81,82,98.8,2026-05-31T18:39:03.755143+00:00
PA793262,Laurent,Alexandre,PO845413,La France insoumise - Nouveau Front Populaire,LFI-NFP,398,399,99.7,2026-05-31T18:39:03.755143+00:00
PA793992,Henri,Alfandari,PO845470,Horizons & Indépendants,HOR,73,74,98.6,2026-05-31T18:39:03.755143+00:00
PA841067,Alexandre,Allegret-Pilot,PO872880,Union des droites pour la République,UDDPLR,463,472,98.1,2026-05-31T18:39:03.755143+00:00
PA840665,Marie-José,Allemand,PO845419,Socialistes et apparentés,SOC,747,774,96.5,2026-05-31T18:39:03.755143+00:00
PA793432,Franck,Allisio,PO845401,Rassemblement National,RN,121,123,98.4,2026-05-31T18:39:03.755143+00:00
PA841207,Charles,Alloncle,PO872880,Union des droites pour la République,UDDPLR,78,80,97.5,2026-05-31T18:39:03.755143+00:00
PA794906,Gabriel,Amard,PO845413,La France insoumise - Nouveau Front Populaire,LFI-NFP,419,421,99.5,2026-05-31T18:39:03.755143+00:00
PA841495,Maxime,Amblard,PO845401,Rassemblement National,RN,367,378,97.1,2026-05-31T18:39:03.755143+00:00
PA794138,Ségolène,Amiot,PO845413,La France insoumise - Nouveau Front Populaire,LFI-NFP,815,824,98.9,2026-05-31T18:39:03.755143+00:00
PA610968,Pouria,Amirshahi,PO845439,Écologiste et Social,ECOS,513,521,98.5,2026-05-31T18:39:03.755143+00:00
PA795588,Farida,Amrani,PO845413,La France insoumise - Nouveau Front Populaire,LFI-NFP,366,367,99.7,2026-05-31T18:39:03.755143+00:00
PA721158,Pieyre-Alexandre,Anglade,PO845407,Ensemble pour la République,EPR,418,433,96.5,2026-05-31T18:39:03.755143+00:00
PA795084,Rodrigo,Arenas,PO845413,La France insoumise - Nouveau Front Populaire,LFI-NFP,188,190,98.9,2026-05-31T18:39:03.755143+00:00
PA842105,Raphaël,Arnault,PO845413,La France insoumise - Nouveau Front Populaire,LFI-NFP,386,386,100.0,2026-05-31T18:39:03.755143+00:00
PA793780,Christine,Arrighi,PO845439,Écologiste et Social,ECOS,295,296,99.7,2026-05-31T18:39:03.755143+00:00
PA722190,Gabriel,Attal,PO845407,Ensemble pour la République,EPR,307,308,99.7,2026-05-31T18:39:03.755143+00:00
PA588884,Clémentine,Autain,PO845439,Écologiste et Social,ECOS,110,121,90.9,2026-05-31T18:39:03.755143+00:00
PA796118,Bénédicte,Auzanot,PO845401,Rassemblement National,RN,186,190,97.9,2026-05-31T18:39:03.755143+00:00
PA642764,Joël,Aviragnet,PO845419,Socialistes et apparentés,SOC,279,292,95.5,2026-05-31T18:39:03.755143+00:00
PA841701,Léa,Balage El Mariky,PO845439,Écologiste et Social,ECOS,344,352,97.7,2026-05-31T18:39:03.755143+00:00
PA719558,Erwan,Balanant,PO845454,Les Démocrates,DEM,284,297,95.6,2026-05-31T18:39:03.755143+00:00
PA794562,Philippe,Ballard,PO845401,Rassemblement National,RN,359,362,99.2,2026-05-31T18:39:03.755143+00:00
PA842279,Anchya,Bamana,PO845401,Rassemblement National,RN,333,337,98.8,2026-05-31T18:39:03.755143+00:00
PA720256,Géraldine,Bannier,PO845454,Les Démocrates,DEM,480,509,94.3,2026-05-31T18:39:03.755143+00:00
PA643143,Christian,Baptiste,PO845419,Socialistes et apparentés,SOC,273,285,95.8,2026-05-31T18:39:03.755143+00:00
PA368,Michel,Barnier,PO845425,Droite Républicaine,DR,79,82,96.3,2026-05-31T18:39:03.755143+00:00
PA840829,Fabrice,Barusseau,PO845419,Socialistes et apparentés,SOC,592,604,98.0,2026-05-31T18:39:03.755143+00:00
PA267763,Jean-Pierre,Bataille,PO845485,"Libertés, Indépendants, Outre-mer et Territoires",LIOT,299,325,92.0,2026-05-31T18:39:03.755143+00:00
PA335999,Delphine,Batho,PO845439,Écologiste et Social,ECOS,214,241,88.8,2026-05-31T18:39:03.755143+00:00
PA342415,Marie-Noëlle,Battistel,PO845419,Socialistes et apparentés,SOC,549,576,95.3,2026-05-31T18:39:03.755143+00:00
PA793374,Romain,Baubry,PO845401,Rassemblement National,RN,217,219,99.1,2026-05-31T18:39:03.755143+00:00
PA606793,Laurent,Baumel,PO845419,Socialistes et apparentés,SOC,335,335,100.0,2026-05-31T18:39:03.755143+00:00
PA642847,Thibault,Bazin,PO845425,Droite Républicaine,DR,560,602,93.0,2026-05-31T18:39:03.755143+00:00
PA718884,Valérie,Bazin-Malgras,PO845425,Droite Républicaine,DR,645,669,96.4,2026-05-31T18:39:03.755143+00:00
PA793158,José,Beaurain,PO845401,Rassemblement National,RN,253,255,99.2,2026-05-31T18:39:03.755143+00:00
PA642935,Olivier,Becht,PO845407,Ensemble pour la République,EPR,107,112,95.5,2026-05-31T18:39:03.755143+00:00
PA720362,Belkhir,Belhaddad,PO845419,Socialistes et apparentés,SOC,228,254,89.8,2026-05-31T18:39:03.755143+00:00
PA842211,Béatrice,Bellay,PO845419,Socialistes et apparentés,SOC,175,182,96.2,2026-05-31T18:39:03.755143+00:00
PA795362,Lisa,Belluco,PO845439,Écologiste et Social,ECOS,326,334,97.6,2026-05-31T18:39:03.755143+00:00
PA841657,Anaïs,Belouassa-Cherifi,PO845413,La France insoumise - Nouveau Front Populaire,LFI-NFP,208,208,100.0,2026-05-31T18:39:03.755143+00:00
PA795454,Karim,Ben Cheikh,PO845439,Écologiste et Social,ECOS,453,463,97.8,2026-05-31T18:39:03.755143+00:00
PA796106,Édouard,Bénard,PO845514,Gauche Démocrate et Républicaine,GDR,246,270,91.1,2026-05-31T18:39:03.755143+00:00
PA841315,Karim,Benbrahim,PO845419,Socialistes et apparentés,SOC,423,438,96.6,2026-05-31T18:39:03.755143+00:00
PA332228,Thierry,Benoit,PO845470,Horizons & Indépendants,HOR,413,496,83.3,2026-05-31T18:39:03.755143+00:00
PA841531,Shéhérazade,Bentorki,,,,,,,
PA794434,Christophe,Bentz,PO845401,Rassemblement National,RN,892,900,99.1,2026-05-31T18:39:03.755143+00:00
PA805166,Anne,Bergantz,PO845454,Les Démocrates,DEM,642,677,94.8,2026-05-31T18:39:03.755143+00:00
PA720430,Ugo,Bernalicis,PO845413,La France insoumise - Nouveau Front Populaire,LFI-NFP,171,172,99.4,2026-05-31T18:39:03.755143+00:00
PA841645,Théo,Bernhardt,PO845401,Rassemblement National,RN,530,579,91.5,2026-05-31T18:39:03.755143+00:00
PA687214,Sylvain,Berrios,PO845470,Horizons & Indépendants,HOR,265,321,82.6,2026-05-31T18:39:03.755143+00:00
PA719218,Hervé,Berville,PO845407,Ensemble pour la République,EPR,293,301,97.3,2026-05-31T18:39:03.755143+00:00
PA309643,Véronique,Besse,GP_NI,Non inscrit,NI,152,223,68.2,2026-05-31T18:39:03.755143+00:00
PA793772,Christophe,Bex,PO845413,La France insoumise - Nouveau Front Populaire,LFI-NFP,499,505,98.8,2026-05-31T18:39:03.755143+00:00
PA842001,Guillaume,Bigot,PO845401,Rassemblement National,RN,354,358,98.9,2026-05-31T18:39:03.755143+00:00
PA720822,Bruno,Bilde,PO845401,Rassemblement National,RN,232,233,99.6,2026-05-31T18:39:03.755143+00:00
PA795616,Carlos Martens,Bilongo,PO845413,La France insoumise - Nouveau Front Populaire,LFI-NFP,195,196,99.5,2026-05-31T18:39:03.755143+00:00
PA840997,Benoît,Biteau,PO845439,Écologiste et Social,ECOS,228,234,97.4,2026-05-31T18:39:03.755143+00:00
PA720668,Emmanuel,Blairy,PO845401,Rassemblement National,RN,318,320,99.4,2026-05-31T18:39:03.755143+00:00
PA794886,Sophie,Blanc,PO845401,Rassemblement National,RN,382,383,99.7,2026-05-31T18:39:03.755143+00:00
PA842183,Benoît,Blanchard,PO845470,Horizons & Indépendants,HOR,440,544,80.9,2026-05-31T18:39:03.755143+00:00
PA719024,Christophe,Blanchet,PO845454,Les Démocrates,DEM,346,357,96.9,2026-05-31T18:39:03.755143+00:00
PA774954,Anne-Laure,Blin,PO845425,Droite Républicaine,DR,261,279,93.5,2026-05-31T18:39:03.755143+00:00
PA840889,Matthieu,Bloch,PO872880,Union des droites pour la République,UDDPLR,425,433,98.2,2026-05-31T18:39:03.755143+00:00
PA796042,Frédéric,Boccaletti,PO845401,Rassemblement National,RN,354,359,98.6,2026-05-31T18:39:03.755143+00:00
PA841543,Jean,Bodart,,,,,,,
PA793444,Manuel,Bompard,PO845413,La France insoumise - Nouveau Front Populaire,LFI-NFP,279,280,99.6,2026-05-31T18:39:03.755143+00:00
PA569,Philippe,Bonnecarrère,GP_NI,Non inscrit,NI,365,419,87.1,2026-05-31T18:39:03.755143+00:00
PA841885,Arnaud,Bonnet,PO845439,Écologiste et Social,ECOS,387,393,98.5,2026-05-31T18:39:03.755143+00:00
PA841507,Nicolas,Bonnet,PO845439,Écologiste et Social,ECOS,417,430,97.0,2026-05-31T18:39:03.755143+00:00
PA719968,Sylvie,Bonnet,PO845425,Droite Républicaine,DR,311,315,98.7,2026-05-31T18:39:03.755143+00:00
PA721410,Émilie,Bonnivard,PO845425,Droite Républicaine,DR,666,684,97.4,2026-05-31T18:39:03.755143+00:00
PA266793,Jean-Yves,Bony,PO845425,Droite Républicaine,DR,225,237,94.9,2026-05-31T18:39:03.755143+00:00
PA717161,Élisabeth,Borne,PO845407,Ensemble pour la République,EPR,124,136,91.2,2026-05-31T18:39:03.755143+00:00
PA642695,Éric,Bothorel,PO845407,Ensemble pour la République,EPR,348,372,93.5,2026-05-31T18:39:03.755143+00:00
PA721816,Ian,Boucard,PO845425,Droite Républicaine,DR,172,189,91.0,2026-05-31T18:39:03.755143+00:00
PA606507,Florent,Boudié,PO845407,Ensemble pour la République,EPR,263,268,98.1,2026-05-31T18:39:03.755143+00:00
PA841487,Anthony,Boulogne,PO845401,Rassemblement National,RN,420,451,93.1,2026-05-31T18:39:03.755143+00:00
PA794094,Mickaël,Bouloux,PO845419,Socialistes et apparentés,SOC,700,724,96.7,2026-05-31T18:39:03.755143+00:00
PA794938,Idir,Boumertit,PO845413,La France insoumise - Nouveau Front Populaire,LFI-NFP,285,287,99.3,2026-05-31T18:39:03.755143+00:00
PA841131,Manon,Bouquin,PO845401,Rassemblement National,RN,630,637,98.9,2026-05-31T18:39:03.755143+00:00
PA342240,Jean-Luc,Bourgeaux,PO845425,Droite Républicaine,DR,255,273,93.4,2026-05-31T18:39:03.755143+00:00
PA720838,Soumya,Bourouaha,PO845514,Gauche Démocrate et Républicaine,GDR,211,235,89.8,2026-05-31T18:39:03.755143+00:00
PA719032,Bertrand,Bouyx,PO845470,Horizons & Indépendants,HOR,341,358,95.3,2026-05-31T18:39:03.755143+00:00
PA793182,Jorys,Bovet,PO845401,Rassemblement National,RN,600,603,99.5,2026-05-31T18:39:03.755143+00:00
PA795318,Louis,Boyard,PO845413,La France insoumise - Nouveau Front Populaire,LFI-NFP,439,440,99.8,2026-05-31T18:39:03.755143+00:00
